,col_name,col_dtype,col_name_full,col_description,col_example
61,dow_thu_oy,int32,day of week Thursday of year,number of Thursdays that have occurred within the year up to and including the date,"(e.g., if none have occurred yet, then 0; if one has occurred then 1, etc.)"
62,dow_fri_oy,int32,day of week Friday of year,number of Fridays that have occurred within the year up to and including the date,"(e.g., if none have occurred yet, then 0; if one has occurred then 1, etc.)"
63,dow_sat_oy,int32,day of week Saturday of year,number of Saturdays that have occurred within the year up to and including the date,"(e.g., if none have occurred yet, then 0; if one has occurred then 1, etc.)"
64,dow_sun_oy,int32,day of week Sunday of year,number of Sundays that have occurred within the year up to and including the date,"(e.g., if none have occurred yet, then 0; if one has occurred then 1, etc.)"
65,dow_om,int32,day of week of month,"given the date's ""day of week"", this is the number of occurrences that have occurred within the yearmonth up to and including the date","(e.g., if none have occurred yet, then 0; if one has occurred then 1, etc.)"
66,dow_om_max,int64,day of week of month max,"given the date's ""day of week"", this is the total number of occurrences that will occurr by the end of the yearmonth","(e.g., if date is Aug 16 2020, which is a Sunday, then return 5 because there are 5 by the end of the yearmonth)"
67,dow_oy,int32,day of week of year,"given the date's ""day of week"", this is the number of occurrences that have occurred within the yearmonth up to and including the date","(e.g., if date is Feb 9 2020, which is a Sunday, then return 6 because it is the 6th Sunday of the year)"
68,is_holiday,int64,is holiday?,is date a holiday?,"(e.g., 1=Yes, 0=No)"
69,holiday,object,holiday,"if the date is a holiday, then show the name of the holiday","(e.g., ""New Year's Day"", ""Christmas Day"")"
70,is_workd,int32,is workday,"if the date is both a weekday (is_weekd) AND is not a holiday (is_holiday), then it's a workday","(e.g., 1=Yes, 0=No)"
71,workdom,int32,work day of month,workday number within the yearmonth,counts weekdays that are not holidays
72,tot_workdom,int64,total workdays in month,total number of workdays in the yearmonth,counts weekdays that are not holidays
73,workd_remain_ym,int64,workdays remaining in yearmonth,number of workdays left in the yearmonth,
74,workdoy,int32,workday of year,workday number within the year,counts weekdays that are not holidays
75,tot_workdoy,int64,total workdays in year,total number of workdays in the year,counts weekdays that are not holidays
76,workd_remain_y,int64,workdays remaining in year,number of workdays left in the year,
77,is_d_leapyr,int32,is day leap year?,"is the date Leap Year (the day, as in Feb 29th)?","(e.g., 1=Yes, 0=No)"
78,is_ym_leapyr,int64,is yearmonth leap year?,is the date in a February containing a Leap Year (Feb 29th)?,"(e.g., 1=Yes, 0=No)"
79,is_y_leapyr,int64,is year leap year?,is the date in a year containing a Leap Year (Feb 29th)?,"(e.g., 1=Yes, 0=No)"
80,first_dom_dt,datetime64[ns],first day of month date,first day of the yearmonth as a date,
81,first_dom_int,int64,first day of month int,first day of the yearmonth as an int (YYYYMMDD),
82,last_dom_dt,datetime64[ns],last day of month date,last day of the yearmonth as a date,
83,last_dom_int,int64,last day of month int,last day of the yearmonth as an int (YYYYMMDD),
84,first_doyq_dt,datetime64[ns],first day of yearquarter date,first day of the yearquarter as a date,
85,first_doyq_int,int64,first day of yearquarter int,first day of the yearquarter as an int (YYYYMMDD),
86,last_doyq_dt,datetime64[ns],last day of yearquarter date,last day of the yearquarter as a date,
87,last_doyq_int,int64,last day of yearquarter int,last day of the yearquarter as an int (YYYYMMDD),
88,first_doyh_dt,datetime64[ns],first day of year half (of year) date,first day of the yearhalf as a date,
89,first_doyh_int,int64,first day of year half (of year) int,first day of the yearhalf as an int (YYYYMMDD),
90,last_doyh_dt,datetime64[ns],last day of year half (of year) date,last day of the yearhalf as a date,
91,last_doyh_int,int64,last day of year half (of year) int,last day of the yearhalf as an int (YYYYMMDD),
92,first_doy_dt,datetime64[ns],first day of year date,first day of the year as a date,
93,first_doy_int,int64,first day of year int,first day of the year as an int (YYYYMMDD),
94,last_doy_dt,datetime64[ns],last day of year date,last day of the year as a date,
95,last_doy_int,int64,last day of year int,last day of the year as an int (YYYYMMDD),
96,moon_phase_name,object,moon phase name,moon phase name,"(e.g., ""Full Moon"", ""New Moon"", etc.)"
97,moon_phase_index_int,int64,moon phase index integer,"moon phase represented as an integer index value (1-8, discrete)","(e.g., Full Moon = 1, etc.)"
98,moon_phase_index_full,float64,moon phase index full,"moon phase represented as a float index value (1-8, continuous) where decimals reflect relative distance between moon phases",
99,moon_illum_pct,float64,moon illumination percent,percentage of moon illuminated,"(e.g., 0% = new moon; 100% = full moon, etc.)"
100,sunrise_utc,"datetime64[ns, tzutc()]",sunrise UTC (timezone),time of sunrise on date at origin of UTC timezone,
101,sunset_utc,"datetime64[ns, tzutc()]",sunset UTC (timezone),time of sunset on date at origin of UTC timezone,
102,sun_duration_utc,timedelta64[ns],sun duration UTC (timezone),length of daylight on date (time between sunrise and sunset) at origin of UTC timezone,
103,dark_duration_utc,timedelta64[ns],dark duration UTC (timezone),amount of time spent without daylight between midnight in the AM and midnight in the PM,
104,sunrise_local,"datetime64[ns, tzlocal()]",sunrise local (coordinates),time of sunrise on date at lat/lon coords provided,
105,sunset_local,"datetime64[ns, tzlocal()]",sunset local (coordinates),time of sunset on date at lat/lon coords provided,
106,sun_duration_local,timedelta64[ns],sun duration local (coordinates),length of daylight on date (time between sunrise and sunset) at lat/lon coords provided,
107,dark_duration_local,timedelta64[ns],dark duration local (coordinates),amount of time spent without daylight between midnight in the AM and midnight in the PM,
